_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,category,what_is_the_color_of_the_river,category_gold,id,image_url
459240116,5/7/2014 22:39:23,,1261529315,5/7/2014 22:38:58,gptking,0.7,22893964,USA,IL,West Frankfort,173.25.210.76,category1,orange,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 22:48:59,,1261532901,5/7/2014 22:48:02,instagc,0.8,24460114,USA,FL,Miami,99.39.244.41,category1,mixed,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 23:02:46,,1261538757,5/7/2014 23:01:00,cashcrate,0.8,22084320,USA,TX,Devine,108.218.193.27,category1,orange,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 23:20:34,,1261546217,5/7/2014 23:19:43,getpaid,0.75,22431356,USA,NY,Rochester,67.247.88.124,category1,Red,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 23:23:38,,1261547613,5/7/2014 23:23:01,zoombucks,0.75,4687106,USA,AL,Birmingham,138.26.8.219,category1,red,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 23:43:53,,1261555242,5/7/2014 23:43:02,bitcoinget,0.8,21678835,USA,KY,Ashland,69.23.50.160,category1,orange,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 23:50:17,,1261558572,5/7/2014 23:49:59,instagc,0.75,25569616,USA,OR,Coos Bay,71.94.239.74,category1,orange,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/7/2014 23:54:57,,1261560988,5/7/2014 23:54:28,zoombucks,0.7,13276625,USA,NY,Forest Hills,108.46.120.7,category1,orang,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/8/2014 00:09:40,,1261568674,5/8/2014 00:08:11,sharecashgpt,0.7,24758163,USA,TX,Dallas,71.21.217.183,category1,red,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240116,5/8/2014 00:18:47,,1261573360,5/8/2014 00:16:46,clixsense,0.55,15823365,USA,IL,Lake Zurich,99.110.36.195,category1,orange,,river01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_01.jpg
459240117,5/7/2014 22:39:23,,1261529298,5/7/2014 22:38:58,gptking,0.7,22893964,USA,IL,West Frankfort,173.25.210.76,category1,grey,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 22:50:12,,1261533405,5/7/2014 22:48:59,instagc,0.8,24460114,USA,FL,Miami,99.39.244.41,category1,brown,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 23:00:59,,1261537999,5/7/2014 22:58:58,cashcrate,0.8,22084320,USA,TX,Devine,108.218.193.27,category1,gray,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 23:20:34,,1261546216,5/7/2014 23:19:43,getpaid,0.75,22431356,USA,NY,Rochester,67.247.88.124,category2,Blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 23:23:38,,1261547617,5/7/2014 23:23:01,zoombucks,0.75,4687106,USA,AL,Birmingham,138.26.8.219,category2,blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 23:44:37,,1261555622,5/7/2014 23:43:54,bitcoinget,0.8,21678835,USA,KY,Ashland,69.23.50.160,category1,blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 23:50:41,,1261558763,5/7/2014 23:50:17,instagc,0.75,25569616,USA,OR,Coos Bay,71.94.239.74,category2,blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/7/2014 23:54:57,,1261560990,5/7/2014 23:54:28,zoombucks,0.7,13276625,USA,NY,Forest Hills,108.46.120.7,category1,blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/8/2014 00:09:40,,1261568675,5/8/2014 00:08:11,sharecashgpt,0.7,24758163,USA,TX,Dallas,71.21.217.183,category1,blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240117,5/8/2014 00:18:47,,1261573367,5/8/2014 00:16:46,clixsense,0.55,15823365,USA,IL,Lake Zurich,99.110.36.195,category2,blue,,river02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_02.jpg
459240118,5/7/2014 22:38:58,,1261529159,5/7/2014 22:36:29,gptking,0.7,22893964,USA,IL,West Frankfort,173.25.210.76,category1,pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 22:48:59,,1261532883,5/7/2014 22:48:02,instagc,0.8,24460114,USA,FL,Miami,99.39.244.41,category1,pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 23:02:46,,1261538754,5/7/2014 23:01:00,cashcrate,0.8,22084320,USA,TX,Devine,108.218.193.27,category1,red,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 23:21:08,,1261546468,5/7/2014 23:20:35,getpaid,0.75,22431356,USA,NY,Rochester,67.247.88.124,category1,Pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 23:23:01,,1261547316,5/7/2014 23:22:28,zoombucks,0.75,4687106,USA,AL,Birmingham,138.26.8.219,category1,pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 23:44:37,,1261555624,5/7/2014 23:43:54,bitcoinget,0.8,21678835,USA,KY,Ashland,69.23.50.160,category1,pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 23:50:17,,1261558596,5/7/2014 23:49:59,instagc,0.75,25569616,USA,OR,Coos Bay,71.94.239.74,category1,pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/7/2014 23:54:28,,1261560734,5/7/2014 23:52:30,zoombucks,0.7,13276625,USA,NY,Forest Hills,108.46.120.7,category1,pink,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/8/2014 00:08:11,,1261567884,5/8/2014 00:06:14,sharecashgpt,0.7,24758163,USA,TX,Dallas,71.21.217.183,category1,purple,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240118,5/8/2014 00:16:45,,1261572315,5/8/2014 00:15:27,clixsense,0.55,15823365,USA,IL,Lake Zurich,99.110.36.195,category2,violet,,river03,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_03.jpg
459240119,5/7/2014 22:38:58,,1261529153,5/7/2014 22:36:29,gptking,0.7,22893964,USA,IL,West Frankfort,173.25.210.76,category1,green,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 22:50:12,,1261533403,5/7/2014 22:48:59,instagc,0.8,24460114,USA,FL,Miami,99.39.244.41,category2,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 23:00:59,,1261538033,5/7/2014 22:58:58,cashcrate,0.8,22084320,USA,TX,Devine,108.218.193.27,category2,green,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 23:21:08,,1261546469,5/7/2014 23:20:35,getpaid,0.75,22431356,USA,NY,Rochester,67.247.88.124,category2,Blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 23:23:01,,1261547317,5/7/2014 23:22:28,zoombucks,0.75,4687106,USA,AL,Birmingham,138.26.8.219,category2,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 23:43:53,,1261555241,5/7/2014 23:43:02,bitcoinget,0.8,21678835,USA,KY,Ashland,69.23.50.160,category2,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 23:50:41,,1261558762,5/7/2014 23:50:17,instagc,0.75,25569616,USA,OR,Coos Bay,71.94.239.74,category2,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/7/2014 23:54:28,,1261560739,5/7/2014 23:52:30,zoombucks,0.7,13276625,USA,NY,Forest Hills,108.46.120.7,category1,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/8/2014 00:08:11,,1261567885,5/8/2014 00:06:14,sharecashgpt,0.7,24758163,USA,TX,Dallas,71.21.217.183,category1,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
459240119,5/8/2014 00:16:45,,1261572300,5/8/2014 00:15:27,clixsense,0.55,15823365,USA,IL,Lake Zurich,99.110.36.195,category2,blue,,river04,https://dl.dropboxusercontent.com/u/82816032/img_tasks/river_04.jpg
